Transaction,Type,Input Currency,Input Amount,Output Currency,Output Amount,USD Equivalent,Fee,Fee Currency,Details,Date / Time (UTC)
NXT5wsxYpdhoPYg41XJhKvwDt,Interest,xUSD,-0.52000000,xUSD,0.52000000,$0.52,-,-,"approved / Interest",2026-01-11 00:00:00
NXT2RNNFySeWHJQ8G4ySGXbxY,Interest,NEXO,4.58854380,NEXO,4.58854380,$4.42,-,-,"approved / 2.114082 XRP",2026-01-10 06:00:00
NXTb4Dpcjf72sMUOn1H9R5GI,Interest,NEXO,0.70837514,NEXO,0.70837514,$0.68,-,-,"approved / NEXO Interest Earned",2026-01-10 06:00:00
NXT1HBRKVk8c5YPZpedFSqYwc,Interest,xUSD,-0.52000000,xUSD,0.52000000,$0.52,-,-,"approved / Interest",2026-01-10 00:00:00
NXT77ax7z24btWMqd2LZYBjFb,Interest,NEXO,0.70793799,NEXO,0.70793799,$0.68,-,-,"approved / NEXO Interest Earned",2026-01-09 06:00:00
NXT4Wi7r6ATj8nRdYqMTfHsau,Interest,NEXO,4.68995797,NEXO,4.68995797,$4.48,-,-,"approved / 2.114082 XRP",2026-01-09 06:00:00
NXT3h0tIcOOBkC4CCDrI9Errs,Interest,xUSD,-0.52000000,xUSD,0.52000000,$0.52,-,-,"approved / Interest",2026-01-09 00:00:00
NXT69utkOzBjQuUk0RN0PHNj2,Interest,NEXO,0.70749897,NEXO,0.70749897,$0.69,-,-,"approved / NEXO Interest Earned",2026-01-08 06:00:00
NXT3leTB7OgpsDgOMw4dSHseO,Interest,NEXO,4.71338634,NEXO,4.71338634,$4.57,-,-,"approved / 2.114082 XRP",2026-01-08 06:00:00
NXT2ZermrZOPr2orK4eIi3xuo,Interest,xUSD,-0.52000000,xUSD,0.52000000,$0.52,-,-,"approved / Interest",2026-01-08 00:00:00
NXT7Bkj11ftoCyDEQIcHEdYPY,Interest,NEXO,4.98613894,NEXO,4.98613894,$4.87,-,-,"approved / 2.114082 XRP",2026-01-07 06:00:00
